"Name","birth_year","death_year","Target","first_year","last_year"
Charles Pickering,"1,805","1,878",ESL,1861,1871
Francois Jules Pictet,"1,809","1,872",ESL,1860,1871
Jonathan S Pidgeon,NA,NA,ESL,1851,1851
John Platts,"1,830","1,904",ESL,1869,1871
Reginald Stuart Poole,"1,832","1,895",ESL,1866,1867
George H Pope,NA,NA,ESL,1868,1871
W H Pope,"1,825","1,879",ESL,1865,1868
T Postans,NA,NA,ESL,1844,1844
Joseph Legg Postlethwaite,NA,"1,871",ESL,1844,1871
Thomas Prendergast,"1,806","1,886",ESL,1863,1868
Joseph Prestwich,"1,812","1,896",ESL,1869,1871
David S Price,NA,NA,ESL,1861,1871
Lorenzo T C Price,NA,NA,ESL,1868,1871
James Cowles Prichard,"1,786","1,849",ESL,1844,1849
Alfred Pulford,"1,823","1,896",ESL,1866,1871
Arthur Giles Puller,"1,833","1,885",ESL,1864,1871
Robert Pulsford,"1,815","1,888",ESL,1860,1860
Lambert Adolphe Jacques Quetelet,"1,796","1,874",ESL,1853,1871
Charles Rafn,"1,795","1,864",ESL,1853,1864
Henry Raikes,NA,NA,ESL,1855,1862
George Ramsay,NA,NA,ESL,1843,1843
George Dalhousie Ramsay,NA,NA,ESL,1862,1870
John Ramsay,"1,814","1,892",ESL,1867,1871
H  Fowler Ransford,NA,NA,ESL,1862,1867
Charles Ratcliff,"1,815","1,885",ESL,1861,1871
Henry Rawlinson,"1,810","1,895",ESL,1853,1871
Richard Rayley,NA,NA,ESL,1845,1845
W H Read,"1,819","1,909",ESL,1864,1869
Charles Reade,"1,814","1,884",ESL,1864,1869
Richard Thompson Reep,"1,807","1,894",ESL,1848,1855
Richard Reeve,NA,NA,ESL,1844,1850
Lestock Robert Reid,NA,"1,879",ESL,1861,1871
Ernest Renan,"1,823","1,892",ESL,1861,1871
Anders Retzius,"1,796","1,860",ESL,1854,1860
Francis Richardson,"1,815","1,896",ESL,1863,1871
Joseph Rickerby,NA,NA,ESL,1844,1844
F W Ricketts,NA,NA,ESL,1858,1871
Jonathan Rigg,NA,NA,ESL,1845,1845
"x Ripon, De Grey and","1,827","1,909",ESL,1860,1871
Carl Ritter,"1,779","1,859",ESL,1853,1859
John Henry Rivett-Carnac,"1,839","1,923",ESL,1870,1871
Charles Robert des Ruffieres,NA,"1,883",ESL,1853,1871
A Roberts,NA,NA,ESL,1867,1867
Archibald Robertson,NA,NA,ESL,1866,1866
Thomas Valentine Robins,NA,NA,ESL,1866,1867
Edward Robinson,"1,794","1,863",ESL,1852,1863
G A Robinson,NA,NA,ESL,1863,1871
George Augustus Robinson,"1,791","1,866",ESL,1853,1866
Hamilton Roe,NA,NA,ESL,1843,1845
Charles Rogers,NA,NA,ESL,1845,1854
Frederick W Rogers,NA,NA,ESL,1847,1847
George Rogers,"1,809","1,891",ESL,1867,1871
John Rogers,NA,NA,ESL,1847,1856
George Rolleston,"1,829","1,881",ESL,1860,1871
James Rome,NA,NA,ESL,1861,1862
Hyacinthe Ronay,"1,814","1,889",ESL,1865,1871
x Rosehill,"1,843","1,891",ESL,1870,1871
John George Clunies Ross,"1,823","1,871",ESL,1860,1871
x Roth,NA,NA,ESL,1855,1871
Richard Wellesley Rothman,NA,"1,856",ESL,1844,1856
R W Rowbotham,NA,NA,ESL,1843,1843
H R Rowcroft,NA,NA,ESL,1861,1862
Harry Crommelin Rowcroft,"1,840","1,876",ESL,1861,1871
A H Russell,"1,837","1,916",ESL,1860,1871
George Augustus Frederick Ruxton,"1,821","1,848",ESL,1845,1848
Edward Ryan,"1,793","1,875",ESL,1862,1871
Alfred Sadler,NA,NA,ESL,1867,1869
David Salomons,"1,797","1,873",ESL,1860,1871
Alfred M Sanderson,NA,NA,ESL,1862,1866
W  Walbank Sanderson,NA,NA,ESL,1869,1871
Humfrey Sandwith,"1,822","1,881",ESL,1861,1867
William Satter,NA,NA,ESL,1843,1844
William Devonshire Saull,"1,783","1,855",ESL,1846,1855
Carl Ritter von Scherzer,"1,821","1,903",ESL,1861,1871
Robert  Herman Schomburgk,"1,804","1,865",ESL,1853,1865
Henry R Schoolcraft,"1,793","1,864",ESL,1852,1852
Frederick Henry Scott,NA,NA,ESL,1862,1862
John (1) Scott,NA,NA,ESL,1866,1868
Robert Scott,NA,NA,ESL,1843,1846
Thomas Scott,NA,NA,ESL,1866,1871
John Scouler,"1,804","1,871",ESL,1844,1871
E J Selwyn,"1,822","1,893",ESL,1853,1862
Carl Semper,"1,832","1,893",ESL,1870,1871
George Sexton,NA,NA,ESL,1853,1853
Henry Danby Seymour,"1,820",NA,ESL,1864,1867
W Sharp,"1,805","1,896",ESL,1861,1862
Norton Shaw,NA,"1,868",ESL,1858,1868
William Wardrop Shaw,"1,816","1,895",ESL,1864,1869
x Sheffield,"1,832","1,909",ESL,1865,1871
Justin Shiel,"1,803","1,871",ESL,1862,1869
John Joseph Shillinglaw,"1,831","1,905",ESL,1843,1845
John Shortt,"1,822","1,889",ESL,1862,1871
Charles Lionel Showers,"1,816","1,895",ESL,1862,1871
James Kay Shuttleworth,"1,804","1,877",ESL,1860,1869
P L Simmonds,NA,NA,ESL,1844,1844
James Simpson,"1,817","1,899",ESL,1869,1871
William Henry Simpson,"1,843","1,914",ESL,1867,1869
Joseph Sister,NA,NA,ESL,1844,1844
x Skardon,NA,NA,ESL,1844,1848
Thomas Peyton Slapp,NA,NA,ESL,1844,1844
Bath Charles Smart,"1,838","1,887",ESL,1861,1871
J  Valentine Smedley,NA,NA,ESL,1868,1868
Andrew Smith,"1,797","1,872",ESL,1844,1871
D  Pye Smith,NA,NA,ESL,1844,1844
Edward Osborne Smith,NA,"1,864",ESL,1861,1864
John Smith,NA,NA,ESL,1860,1871
Thomas James Smith,"1,827","1,896",ESL,1869,1871
Thomas Southwood Smith,"1,788","1,861",ESL,1845,1847
R  Brough Smyth,"1,830","1,889",ESL,1862,1862
William Parker Snow,"1,817","1,895",ESL,1861,1868
Samuel Reynolds Solly,"1,781","1,866",ESL,1861,1866
William Somervell,NA,NA,ESL,1862,1871
Henry Southey,"1,783","1,865",ESL,1850,1857
G W Spence,NA,NA,ESL,1861,1862
William Spence,"1,783","1,860",ESL,1843,1855
William Henry Spencer,NA,NA,ESL,1863,1867
T  Trevethan Spicer,NA,NA,ESL,1844,1844
William Spottiswoode,"1,825","1,883",ESL,1861,1871
Ephraim George Squier,"1,821","1,888",ESL,1852,1871
George St Clair,"1,836","1,908",ESL,1863,1871
Bayle St John,NA,NA,ESL,1844,1845
James Augustus St John,"1,795","1,875",ESL,1844,1845
Percy B St John,"1,821","1,889",ESL,1844,1847
Spencer St John,"1,825","1,910",ESL,1862,1871
Edward St Maur,NA,NA,ESL,1861,1862
James Joseph Stainton,NA,NA,ESL,1854,1862
William Edward Stanbridge,"1,821","1,894",ESL,1861,1871
H I Staples,NA,NA,ESL,1859,1867
Japetus Steenstrup,"1,813","1,897",ESL,1864,1871
Carl (Karl) Steinhauer,"1,801","1,902",ESL,1863,1871
William Frederick Cowell Stepney,"1,821","1,872",ESL,1866,1871
N  Henry Stevens,NA,NA,ESL,1862,1871
Alexander Patrick Stewart,"1,813","1,883",ESL,1844,1871
Charles Edward Stewart,NA,NA,ESL,1869,1871
x Strangford,"1,826","1,869",ESL,1862,1869
Henry Stretton,NA,"1,890",ESL,1861,1862
John James Sturz,"1,800","1,877",ESL,1844,1844
J P Sutherland,NA,NA,ESL,1854,1871
Edwin C Suttor,"1,818","1,898",ESL,1843,1845
George Suttor,"1,774","1,859",ESL,1844,1844
Richard Levinge Swift,"1,821","1,872",ESL,1866,1871
Robert Swinhoe,"1,836","1,877",ESL,1861,1871
J G Sylvester,NA,NA,ESL,1846,1846
J J Sylvester,"1,814","1,897",ESL,1863,1863
Robert Tait,"1,816","1,897",ESL,1854,1862
James Talbot de Malahide,"1,805","1,883",ESL,1860,1871
James Tanner,NA,NA,ESL,1867,1871
x Tasmania,"1,803","1,879",ESL,1861,1861
Richard Temple,"1,826","1,902",ESL,1865,1871
John Tennant,"1,796","1,878",ESL,1863,1871
James Emerson Tennent,"1,804","1,869",ESL,1858,1862
Fred Thompson,NA,"1,893",ESL,1854,1855
Richard John Thompson,NA,NA,ESL,1844,1844
W Thompson (2),NA,NA,ESL,1866,1866
Christian JÃ¼rgensen Thomsen,"1,788","1,865",ESL,1864,1865
John Thomson,"1,837","1,921",ESL,1866,1871
L E Threlkeld,"1,788","1,859",ESL,1854,1871
John Thrupp,"1,817","1,870",ESL,1863,1870
Edward Thurlow,NA,NA,ESL,1863,1871
John Thurnam,"1,810","1,873",ESL,1852,1870
Richard Hill Tiddeman,"1,842","1,917",ESL,1870,1871
Samuel Timmins,"1,826","1,902",ESL,1866,1871
x Tinsley,NA,NA,ESL,1851,1855
C D Tolme,NA,NA,ESL,1856,1858
James Tonnere,NA,NA,ESL,1844,1844
William Tooke,"1,777","1,863",ESL,1844,1844
Nicolas Trubner,"1,817","1,884",ESL,1857,1871
Thomas Harrington Tuke,"1,826","1,888",ESL,1849,1871
x Tumangung of Jehore,NA,NA,ESL,1866,1866
Henry John Turner,NA,NA,ESL,1856,1856
John Turner,NA,NA,ESL,1844,1844
William Wadden Turner,"1,810","1,859",ESL,1852,1852
John Twiner,NA,NA,ESL,1843,1845
William Twining,NA,NA,ESL,1845,1845
John Underwood,NA,NA,ESL,1860,1871
John Ussher,NA,NA,ESL,1866,1868
George Vaughan,NA,NA,ESL,1865,1868
Jonas Daniel Vaughan,"1,825","1,891",ESL,1865,1871
Carl Vogt,"1,817","1,895",ESL,1869,1871
Benjamin Vulliamy,"1,780","1,854",ESL,1844,1844
Thomas Francis Wade,"1,818","1,895",ESL,1864,1871
x Wagstaff,NA,NA,ESL,1853,1856
James Walker,"1,781","1,862",ESL,1845,1854
James Sydney Walker,NA,"1,883",ESL,1854,1871
Thomas Walker,"1,832","1,896",ESL,1854,1871
Alfred Russel Wallace,"1,823","1,913",ESL,1866,1871
Phillipp Alexander Walther,"1,812","1,887",ESL,1862,1871
Stephen Henry Ward,"1,818","1,880",ESL,1847,1869
Samuel Hibbert Ware,"1,782","1,848",ESL,1844,1844
Edward Warner,"1,818","1,875",ESL,1862,1871
Thomas T P  Bruce Warren,NA,NA,ESL,1867,1871
W Warrington,NA,NA,ESL,1844,1844
George Waterhouse,"1,810","1,888",ESL,1843,1845
Samuel Watson,NA,NA,ESL,1862,1871
John King Watts,"1,808","1,884",ESL,1855,1865
Andrew Scott Waugh,"1,810","1,878",ESL,1862,1871
George Webster,NA,NA,ESL,1844,1844
John Webster,NA,"1,878",ESL,1861,1862
Hermann Welcker,"1,822","1,897",ESL,1862,1871
Mordaunt Wells,"1,817","1,885",ESL,1864,1867
Reginald Sackville West,"1,817","1,896",ESL,1865,1868
Hodder Michael Westropp,"1,820","1,885",ESL,1869,1871
G F Whidbourne,"1,805","1,871",ESL,1846,1847
James Whishaw,"1,808","1,879",ESL,1844,1871
x White,NA,NA,ESL,1844,1844
James T White,NA,NA,ESL,1862,1862
M White,NA,NA,ESL,1844,1844
x Wienecke,NA,NA,ESL,1862,1871
A L Wigan,NA,NA,ESL,1847,1847
John W Wilkins,NA,NA,ESL,1862,1862
John Gardner Wilkinson,"1,797","1,875",ESL,1853,1871
John (2) Williams,"1,792","1,858",ESL,1855,1855
G Williamson,NA,NA,ESL,1858,1862
David Wilson,NA,NA,ESL,1845,1845
Henry Hoyte Winwood,"1,831","1,920",ESL,1869,1871
Henry Drummond Wolff,"1,830","1,908",ESL,1862,1869
James Wood,NA,NA,ESL,1857,1857
Samuel Wood,NA,"1,879",ESL,1860,1871
Robert Carr Woods,"1,816","1,875",ESL,1863,1871
Joseph Hardman Worrall,"1,825","1,889",ESL,1848,1848
Ferdinand Von Wrangell,"1,797","1,870",ESL,1853,1870
Francis Beresford Wright,"1,837","1,911",ESL,1870,1871
Thomas Wright,"1,810","1,877",ESL,1853,1871
James Wyld,"1,812","1,887",ESL,1844,1854
Ashton Yates,"1,781","1,863",ESL,1860,1862
W  Holt Yates,"1,802","1,874",ESL,1844,1846
James Yearsley,"1,805","1,869",ESL,1845,1845
Arthur de Zeltner,NA,NA,ESL,1865,1871
