"Name","title","gender_id","birth_year","death_year","data_source_id","notes"
Francis Egerton,Lord,1,1800,1857,1,
George Granville Francis Egerton,Lord,1,1823,1862,1,
x Egypt,His Highness the Viceroy of,1,1822,1863,1,
John Elder,NA,1,1824,1869,1,"12 Centre St Glasgow"
x Eliot,Lord,1,NA,NA,1,"36 Dover Street, W."
John Ellerton,NA,1,1840,1923,1,"Middlesburgh, York"
Walter Elliot,Sir,1,1803,1887,1,"Wolfelee, Hawick N.B."
J H Elliott,NA,1,NA,NA,1,
C H  Fairfax Ellis,Lieut.... Capt.,1,NA,NA,1,"The Citadel, PlymouthShoeburyness, Essex [A6:2 and 1872]"
James Ellis,NA,1,NA,NA,1,The County Asylum Hanwell
Jonathan W Elmes,NA,1,NA,NA,1,"Lagos, W. Africa [this address crossed out in A31/2/2 [list Aug 20 1866]]no address in 1867"
John Elphinstone,NA,1,NA,1854,1,East Grinstead
Mountstuart Elphinstone,Hon.,1,1779,1859,1,
Joel Emanuel,NA,1,NA,NA,1,"5 Manor Gardens, Hackney"
Jacob Epstein,NA,1,NA,NA,1,"11 Newgate Street, EC"
John E Erichsen,NA,1,1818,1896,1,
Victor Erlanger,Baron von,1,1840,1894,1,Wiesbaden
William Erle,"Rt. Hon., Sir",1,1793,1880,1,"12 Princes Gardens Hyde ParkBramshott Grange, Liphook [1872]"
Adolf Ernst,NA,1,1832,1899,1,Caracas. Venezuela
Kennedy Erskine,Capt.,1,1828,1870,1,
x Euclide,Dr,1,NA,NA,1,"Leucosia, Cyprus"
William Euing,NA,1,1788,1874,1,"209 West George St Glasgow and Royal Exchange Glasgow"
Edward Bickerton Evans,NA,1,1819,1893,1,"Whitbourne Hall, Doddenham, near Worcester"
John Evans,Sir,1,1823,1908,1,"Nash Mills Hemel Hempstead Britwell, Berkhamsted, Herts [1906]"
Richard Tonson Evanson,NA,1,1800,1871,1,"Home Hurst, Torquay"
William Ewart,NA,1,1798,1869,1,United University Club SW 
Arthur B Ewen,NA,1,1838,NA,1,"Long Sutton, Lincolnshire"
Edward John Eyre,Sir [1865],1,1815,1901,1,"King's House, Jamaica [in A31/2/2 this crossed out and Adderley Hall, near Market Drayton, Shropshire written][in A6:2] Adderley Hall, Salop crossed out in favour of The Hall, West Farleigh, Maidstone"
William Fairbairn,Sir,1,1789,1874,1,Manchester
R W Fairbank,NA,1,1839,1890,1,"Stamford Terrace [Villas in list 1867.07.15], Bowden, Manchester"
Edmund Farmer,NA,1,NA,NA,1,"80 Cheapside EC "
x Farquharson,Dr,1,NA,NA,1,Stockton on Tees
Adam Storey Farrar,Revd.,1,1826,1905,1,College Durham
J G Faught,NA,1,NA,NA,1,AldershotSheerness Barracks [1866]
Adolphe Duchart Fauvet,NA,1,NA,NA,1,
Frederick Fearon,NA,1,1826,NA,1,"Stoke Green, near Slough [1864, 1869]13 Pall Mall SW and Maidenhead [1865]22 Sackville St., W. [1866][in A6:2] Stock Green Cottage, Slough crossed out in favour of 95 Park Street, Grosvenor Square, W84 Park Street, Grosvenor Square [1872]"
W S Featherstone,NA,1,NA,NA,1,
Alexis Fedschenko,NA,1,1844,1873,1,Moscow
George Edgeworth Fenwick,Dr,1,1825,1894,1,"Montreal, Upper Canada"
William Ferguson,NA,1,1820,1887,1,"2 S Aidan's Terrace, Birkenhead"
John Fergusson,NA,1,NA,NA,1,"19 Mecklenburgh Square"
Leopold Ferny,HBM Consul,1,NA,NA,1,Puerto Rica
Alexander Fiddes,NA,1,NA,1870,1,"Kingston, Jamaica"
Edwin Foxton Firby,Prof.,1,NA,NA,1,Grewelthorpe near Ripon Yorks
Frederick Firebrace,Lieut.,1,NA,1917,1,"Shorncliffe [1864]Calcutta (care of 22 Queen's Gardens, W.) [1865]c/o Charles Mason Esq., 3 Gloucester Crescent, Hyde Park [A6:2 and 1872]"
James Firm,NA,1,NA,NA,1,Jerusalem
James (1) Fischer,NA,1,1832,1873,1,"Madura, Madras"
Robert Fischer,NA,1,NA,1911,1,"Madura, Madras"
Edward Gardiner Fishbourne,Capt.,1,NA,NA,1,"6 Delamere Terrace, Harrow Road, NW"
Anthony Lax Fisher,NA,1,NA,NA,1,"14 York Place, Portman Square [1867]"
Morton Coates Fisher,NA,1,NA,NA,1,"58 Threadneedle St. EC"
Robert Fitzroy,Capt. (Admiral 1862),1,1805,1865,1,"38 Onslow Square [1862]"
F H Fitzwilliam,NA,1,NA,NA,1,"18 Royal Crescent, Ramsgate"
William S Fitzwilliam,NA,1,NA,NA,1,"28 Ovington Square Brompton"
George Fleming,Capt.,1,1833,1901,1,"Aldershot [1863]c/o E.S. Codd, 36 Craven St., Strand, WC [1864]Cavalry Barracks, Manchester [1865]Cavalry Barracks, Aldershot [1866]Royal Engineers, Chatham [1869]Kilburn [1878]"
James William Fleming,NA,1,NA,NA,1,"37th Regiment"
John B Fletcher,NA,1,NA,NA,1,
Joseph Fletcher,NA,1,NA,1852,1,
Alphonse de Fleuriot de Langle,Contre Amiral Vicomte,1,1809,1881,1,"Chateau de Pradalan, 4 Morlaix, Finisterre"
Walter Flight,NA,1,1841,1885,1,"Queenswood College, near Stockbridge, Hampshire [1863]72 High Street, Winchester [1865]"
John Wickham Flower,NA,1,1807,1873,1,Park Hill Croydon
John Folhurst,NA,1,NA,NA,1,"60 Tooley Street"
George Folsom,NA,1,1802,1869,1,New York
David Forbes,NA,1,1828,1876,1,"11 York Place Portman Square W"
Duncan W Forbes,NA,1,NA,NA,1,"The Rookery, Eastwood, Notts."
W Forester,NA,1,NA,NA,1,"(Messrs Riches & Co., Belfast, Londonderry"
Joseph James Forrester,NA,1,NA,NA,1,"6 S. Helen's Place, EC 33 Mark Lane, EC [list Aug 20 1866]"
Richard Fort,NA,1,1822,1868,1,"24 Queen's Gate Gardensand Read Hall, Whalley, Lancashire [1867]"
G A Forteath,NA,1,1819,1862,1,
Balthazar Walter Foster,Dr,1,1840,1913,1,"55 Calthorpe Street, Edgebaston, Birmingham25 Hagley Road, Edgebaston [1869]"
M Foster,NA,1,1836,1907,1,Huntingdon 
Robert Nicholas Fowler,Sir,1,1828,1891,1,"4 Princes St., Bank [1851]30 Cornhill [1862]50 Cornhill [1883]137 Harley Street, W [1888]"
William Fowler,NA,1,NA,NA,1,
Charles Henry Fox,NA,1,NA,NA,1,Brislington House Bristol [1862]The Beeches Brislington Bristol [1869]
William Henry Francklyne,Lieut.,1,NA,NA,1,"Palmacoltah [1869]c/o Messrs Arbuthnot and Co., Madras [1879]Bellary, Madras Presidency [1881]Secunderabad, Madras Presidency [1888]Rangoon [1894]"
Augustus Wollaston Franks,NA,1,1826,1897,1,"The British Museum and 55 Upper Seymour street Portman Square [1868]The British Museum and 103 Victoria St West SW [1869] 123 Victoria Street, SW [1897]"
Alexander Adolphus Fraser,NA,1,NA,NA,1,"14 Limerston Street, King's Road, Chelsea, SW [1863]War Office, Pall Mall [1865]"
Alexander Colvin Fraser,NA,1,NA,NA,1,Colchester
Thomas Fraser,Capt.,1,1808,1891,1,"Otago New Zealand... c/o J. Fraser McQueen 8 [10] Old Square Lincolns Inn c/o Messrs Grindley & Co., 55 Parliament Street, SW [1883]"
Henry Stanhope Freeman,NA,1,1831,1865,1,"27 Bury Street, S. James [1865]"
x Freme,Major,1,NA,NA,1,"Army and Navy Club, St James's Square, SW [1865]"
Sydney French,NA,1,NA,NA,1,"37 Gloucester St., Queen's Square"
H  Albert Freuler,NA,1,NA,NA,1,"North Street, S. Andrew's [1865]"
William Freund,Dr,1,1806,1894,1,BerlinBreslau [1875]
John Friend,NA,1,NA,NA,1,"35 Eastbourne Terrace Paddington"
Anton Fritsch,Dr,1,1832,1913,1,Prague
Danby Palmer Fry,NA,1,1818,1903,1,"Gwydyr House, Whitehall SWPoor Law Board, Whitehall Place, SW [1871]Local Government Board, Whitehall, SW [1872]138 Haverstock Hill, NW [1883]166 Haverstock Hill, NW [List 1899 vol. 29]"
Stephen D Fuller,NA,1,1839,1912,1,"1 Eaton Place, SW "
A  de Fullner,Mons.,1,NA,NA,1,
Michael Cudmore Furnell,NA,1,1829,1888,1,"Cochin, Madras Presidency"
Albert Fytche,Lieut. Col [Major General],1,1820,1892,1,"Martaban Burmah... Reform Club21 Lowndes Square, SW [1872]"
Paolo Gaddi,Prof.,1,1806,NA,1,"Modena, Italy"
Richard M Gage,NA,1,NA,NA,1,"42 Manchester Street, Manchester SquareMobile, Alabama [1866]"
Griffin Curtis Galt,NA,1,NA,NA,1,
Douglas Galton,"Capt., Sir",1,1822,1899,1,"12 Chester Street Grosvenor Place [1862]Belgrave Square, SW... and Himbleton Manor, Droitwich [1888]12 Chester Street, Grosvenor Square, SW [1897]"
Francis Galton,NA,1,1822,1911,1,"42 Rutland Gate Hyde Park and Athenaeum Club [1862]"
Antonio Garbiglietti,Prof.,1,1807,1887,1,Turin
Felix Garden,NA,1,NA,NA,1,Penzance
John Gardiner,Sir,1,1814,1868,1,"Reform Club, Pall Mall"
C T Gardner,NA,1,NA,NA,1,"3 St James's Terrace PaddingtonHM Vice Consul, Chinkiang c/o Mr White, 83 Upper Thames Street [1872]"
Charles Henry Gardner,NA,1,NA,1872,1,"Merton Cottage, Cowley Rd S. [1864]5 Clarendon Villas, Loughborough Park, S. [1865]"
E V Gardner,Prof.,1,NA,NA,1,"Sunbury Middlesex [1862]Tremont, 59 Florence Road, New Cross SE [1897]"
Peter Gardner,NA,1,NA,1872,1,"41 Inverness Terrace Bayswater W [1862]"
William H Garrett,NA,1,NA,NA,1,"98 Guildford Street, WC "
Thomas B Gascoyne,Capt.,1,NA,NA,1,Athenaeum Club [1862]
John Peter Gassiot,NA,1,1797,1877,1,Clapham Common S [1862]
Charles Henry Gatty,NA,1,1836,1903,1,"Felbridge Park, East Grinstead, Sussex"
J Gaus,NA,1,NA,NA,1,"Bathurst, Gambia"
x Gawler,Col.,1,1795,1869,1,
David Gay,NA,1,1826,NA,1,"74 Cheapside, EC "
Alex  Nidda Genthe,Dr,1,NA,1870,1,"8 Bedford Place, Russell Square , WC"
x Georgei,Prof.,1,NA,NA,1,"18 Wimpole Street, Cavendish Square, W. "
Paul Gervais,Dr,1,1816,1879,1,MontpellierParis [1872]
George Duncan Gibb,Sir,1,1821,1876,1,"19A Portman Street, Portman Square, W. [in A31/2/2 this crossed out and replaced with]: 1 Bryanstone Street1 Bryanstone Street, Portman Square, W.... and Falkland, Fife, NB [1867]"
Craig Gibson,Dr,1,1813,1874,1,"Bebbington, Cheshire"
George Stacey Gibson,NA,1,1818,1883,1,Saffron Walden 
Enrico Hillyer Giglioli,Prof.,1,1845,1909,1,"Pavia [1862]Japan [1866]Jesso, Japan [1867]Florence [1881]Zoological Museum, Florence, Italy [1899]Re. Museo, Florence [1905]"
Joseph Gill,NA,1,NA,NA,1,"Lagos, West Africa"
William Gillespie,NA,1,NA,1875,1,"Torbane Hill Edinburgh46 Melville Street, Edinburgh [1872]"
Andrew Gilmour,NA,1,NA,1910,1,"Linlithgow, N.B."
x Giraldes,Prof.,1,1808,1875,1,Paris
James William Glass,NA,1,1825,1857,1,"19 Newman St, Oxford St"
x Glasse,NA,1,NA,NA,1,
Spyridon Glaucopides,NA,1,NA,NA,1,"7 Maitland Park Crescent, Haverstock Hill, N. 58 Maitland Road, Haverstock Hill, N. [A6:2]"
Albert Gledstanes,NA,1,NA,NA,1,
J  S  Stuart Glennie,NA,1,1841,1910,1,"6 Stone Buildings, Lincoln's Inn, EC"
John Hawley Glover,NA,1,1829,1885,1,"Lagos, W. Africa"
George Grenfell Glyn,NA,1,1824,1887,1,Brook Street Grosvenor Square [1860]42 South St Grosvenor Sq [1862]
Edwin Goadby,NA,1,1837,NA,1,"Loughborough, Leicestershire [crossed out in A31/2/2 (list Aug 20 1866) and replaced with:]Western Daily Mercury Office, Plymouth"
x Gobineau,Le Comte de,1,1816,1882,1,AthensRio de Janeiro [1869]
William Goddard,NA,1,1839,1907,1,"Oxford St., Nottingham"
Thomas Godrich,Dr,1,NA,NA,1,"18 Stamford Villas, Fulham SW"
Augustus Goldsmid,NA,1,1818,1874,1,"1 Essex Court, Temple and Conservative and Junior Carlton Clubs [1865]Old Library Garden Court Temple [1869]"
Isaac Lyon Goldsmid,Sir,1,1778,1859,1,
Thomas Gole,NA,1,NA,NA,1,
Thomas Gooch,NA,1,NA,NA,1,"63 London Wall, City "
William Gooch,NA,1,NA,NA,1,"Twyford House, Bishop Stortford"
Charles Rowland Goodman,NA,1,NA,NA,1,"205 York St., Cheetham, Manchester"
Arthur Gordon Gordon,NA,1,NA,NA,1,"Gaboon, W. Africa... and 13 Westbourne Place, Victoria Park, Clifton, Bristol"
Richard Thomas Gore,NA,1,1799,1881,1,"6 Queen Sq Bath"
A L  (pere) Gosse,NA,1,1791,1873,1,Geneva
Hippolyte-Jean Gosse,NA,1,1834,1901,1,Geneva
John Gould,NA,1,1804,1881,1,
Charles Edward Gover,NA,1,1835,1872,1,"Military Orphan Asylum, Madras [A3]Military Orphan Asylum, Potacamund. Agents, Messrs Gladding and Co., Aldine chambers, 13 Paternoster row, EC [1869.08.01]"
James Gowans,NA,1,1821,1890,1,"16 Salisbury St., Edinburgh1 Carlton St., Edinburgh [1869]"
D G Goyder,Revd.,1,1796,1878,1,Ipswich
x Granville,Dr,1,1833,1900,1,
Pierre Gratiolet,NA,1,1815,1865,1,Paris
John Grattan,NA,1,NA,NA,1,"Mervue, Belfast"
Ryves William Graves,NA,1,NA,1882,1,"18 Barton St., Gloucester [A3]80 Barton St., Gloucester [lists]"
John Grayling,NA,1,NA,NA,1,Sittingbourne
Frederick Green,NA,1,NA,NA,1,"17 Stratford Place, W"
Frederick King Green,NA,1,1842,1915,1,"BurfordWantage, Berkshire [1872]"
George Courthope Green,NA,1,NA,1875,1,"Fernside, Whitebrook, near Monmouthin A6:2 Whitebrook crossed out and 'Penalt near' replaces itFernside, Penalt, near Monmouth [1872]"
Sidney Faithhorn Green,Revd.,1,1841,1916,1,"Montagu House, Eltham, Kent Swinton Parsonage, Manchester [1866]"
George Bellas Greenough,NA,1,1778,1855,1,
Henry Greenway,NA,1,NA,NA,1,"12 Ham St., Plymouth"
William Greenwell,Revd. Canon,1,1820,1918,1,Durham
Edward Greey,NA,1,1835,1888,1,"36 PiccadillyNew York, c/o 96 Strand, WC [1867 list]"
William Rathbone Greg,NA,1,1809,1881,1,"H.M. Stationery Office, Princes street Westminster SW"
Alexander Gregg,Rt Rev.,1,1819,1893,1,"8 Craven Street, StrandGalveston, Texas [1869]"
Walter Gregor,Revd.,1,1825,1897,1,"Macduff, Banff [1863]Pitsligo Manse, Rosehearty, Aberdeenshire [1864]"
J R Gregory,NA,1,NA,NA,1,"25 Golden Square, W. 15 Russell Street, Covent Garden [1867]"
Charles Edward Grey,"Rt. Hon., Sir",1,1785,1865,1,Marlborough House Tunbridge Wells [1862]
George Grey,"Rt. Hon., Sir",1,1812,1898,1,"[no address given 1862]New Zealand [1868]Athenaeum [1870]Fallodon, Chathill, Northumberland... and Athenaeum Club, SW [1883]Athenaeum Club, SW... and Kawan Island, Auckland, New Zealand [1888]Wellington, New Zealand [1894]7 Park Place, St James's Street, W [1897]"
Henry Rowland Ellison Grey,Lieut.,1,1834,1909,1,"Gunboat Algerine ChinaMarlborough House Tunbridge Wells [1862]HMS Irresistible [1867]Irresistible, Southampton [1868]HMS Algerine [1869]"
x Gribble,NA,1,1807,1878,1,
H G Gridley,Capt.,1,1820,NA,1,"26 Wilton crescent... and Oriental Club, W"
Frederick Griffin,NA,1,1813,1885,1,"1 Palace Gardens W"
Lepel Griffin,Sir,1,1838,1908,1,"The Grosvenor Hotel, Pimlicoc/o Messrs Grindley and co., 55 Parliament St., SW [1883]1 Hobart Place, SW [1894]"
John Griffith,NA,1,NA,NA,1,
Richard Trygarn Griffith,NA,1,1788,1866,1,Carreglwyd Anglesey and 3 Lower Berkeley street Portman Square
Francis Griffiths,NA,1,NA,NA,1,"14 Tudor Street, Sheffield"
J C Griffiths,NA,1,NA,NA,1,
Richard Clewin Griffiths,NA,1,NA,NA,1,
James Oliff Griffits,NA,1,1821,NA,1,"3 Middle Temple Lane, EC 18 [5 in list Aug 20 1866, 1867, 1872, 1875, 1881 1883 and 1885]  Crown Office Row, Temple, EC [1866]"
John Grover,Capt.,1,NA,NA,1,
Charles Groves,NA,1,1793,1866,1,Wareham
Joseph Tatton Russell Groves,NA,1,NA,NA,1,"Croomes Hill, Blackheath, Kent [A3]17 Newington Crescent, Kennington, S. [1865]30 Bush Lane, EC [1866][crossed out in A31/2/2]"
Augustus Guest,NA,1,NA,NA,1,
William Vernon Guise,Sir,1,1816,1887,1,Elmore Court Gloucester... and Athenaeum Club
John Gunn,Revd.,1,1801,1890,1,"Irstead Rectory, Norfold"
Henry Francis Jeune Guppy,NA,1,NA,NA,1,"Port of Spain, Trinidad"
Samuel Guppy,NA,1,1790,1875,1,"Broadfield, Crawley, Sussex45 Great Marlborough Street, W"
John Henry Gurney,NA,1,1819,1890,1,"24 Kensington Palace Gardens [1862]9 St James's Square and Catton Hall, Norfolk [1867]"
Alexander Guthrie,NA,1,1796,1865,1,"8 Upper Wimpole St [1862]"
James Guthrie,NA,1,NA,1900,1,"8 Upper Wimpole St... 3 Poynders Rd Clapham Park [1867]Carse Gray, Forfar, NB [1875]34 Leadenhall street EC... and Carse Gray, Forfar, NB [1879]"
Johann Franz ('Julius') Haast,Dr,1,1822,1887,1,"Canterbury, New Zealand"
Johann Georg Hahn,Dr von,1,NA,NA,1,SyraSyria in list 1867.07.15
William Hall,NA,1,NA,NA,1,
Henry Hallam,NA,1,1777,1859,1,
Ernst Hallier,Prof.,1,1831,1904,1,Jena
Alexander C Hamilton,Capt. (Major in 1879 list),1,NA,NA,1,"Bermuda... Portsmouth [1869]154 Buckingham palace road, SW [1879]"
Archibald Hamilton,NA,1,1818,1880,1,Southborough Bromley Kent
Rowland Hamilton,NA,1,NA,NA,1,"20 Princes St Hanover Sq. [1853]Oriental Club Calcutta [1862]32 New Broad streetBengal [1862 corresponding members list]Calcutta and 13 Leadenhall Street [1867]Calcutta... and 32 New Broad Street [1869]"
C D Hammond,NA,1,NA,NA,1,"11 Charlotte Street, Bedford Sq. WC"
William Alexander Hammond,NA,1,1828,1900,1,"Professor of Mental Philosophy in the Belle Vue Hospital Meidcal College, New York"
Henry Fletcher Hance,Dr,1,1827,1886,1,"Whampoa, Southern China"
H J B Hancock,NA,1,NA,NA,1,"Duke's Hill, Bagshot "
James Ronaldson Handyside,NA,1,1798,1873,1,St Petersburg
Richard Davis Hanson,Sir,1,1805,1876,1,"9 Neville St, Onslow Gardens, SWChief Justice, Adelaide, South Australia {1872}"
Edward B Harbour,NA,1,NA,1865,1,Amoy
Clarence Harcourt,NA,1,NA,1909,1,"2 King's Arms Yard, EC and Cliff Villa, Ladywell, Lewisham [1864]8 Moorgate street, EC... and Cliff villa, Ladywell, Lewisham [1869]"
Charles Harding,NA,1,NA,NA,1,"Colbert Villa, Springfield Rd, St John's Wood99 Cannon Street, EC [1869]"
William Harding,NA,1,1809,1890,1,"4 Percy Street, Islington [Bedford Square]"
William Hardman,NA,1,1828,1890,1,"27 Gordon Street, Gordon Square [1864]Norbiton Hall, Kingston on Thames [1865]"
Charles J Harland,NA,1,NA,NA,1,"Madeira Place, Torquay [1864]Newholm, Torquay [1866]"
Henry Harland,NA,1,NA,NA,1,"The Middle House, Mayfield, Sussex"
C E Harle,NA,1,NA,NA,1,"17 Cross St., Islington"
Thomas Harlin,NA,1,1832,1913,1,"Brook Street, Kingston on Thames "
J A W Harper,NA,1,NA,NA,1,"23 Grosvenor Road, Pimlico"
Samuel Harraden,NA,1,NA,NA,1,"32 St John's Wood Park, NWHomeside, Fitzjohn's Avenue, Hampstead, NW [1888]5 Canon Place, Hampstead, NW [1894]"
F W Harrer,Revd.,1,NA,NA,1,
Arthur B Harris,NA,1,NA,NA,1,"Bank House, Falmouth, CornwallPenlene House, Falmouth [1910 on L.T. Harris's election form]"
James Penn Harris,NA,1,1817,1892,1,"5 Rodney Street, Liverpool"
William Cornwallis Harris,Major Sir,1,1807,1848,1,
Charles (1) Harrison,NA,1,NA,NA,1,"10 Lancaster Gate Hyde Park [1869]17 Queen's Gate Place, South Kensington, S.W. [1883]29 Lennox Gardens, SW [1888]"
William G S Harrison,NA,1,NA,NA,1,"20 Whitehall Place"
William Henry Harrison,NA,1,1840,1897,1,"Wilmin Villa, Chaucer Road, Herne Hill, S."
Alfred Edmund Harriss,NA,1,NA,NA,1,"6 Hastings Street, Calcutta"
Ernest Abraham Hart,NA,1,1835,1898,1,"69 Wimpole Street, W. "
John Harvey,NA,1,NA,NA,1,"31 Grosvenor Street, W.1 Berkeley Square, W. [1867]41 Hill Street, Berkeley Square, W [1869][crossed out in A6:2]"
John E Harvey,NA,1,NA,1879,1,"Borneo Company, 7 Mincing Lane [1862]Borneo Company, 28 Fenchurch Street, EC [1879]"
Frederick Augustus Haserick,NA,1,1828,1902,1,"Oakfield, Ashton Mersey [1866]Newstead house, Walley range, Manchester [1875]care of Messrs. Stoddard, Lovering, and Co., Boston, U.S.A. [1881]35 Johann Georgen Alle, Dresden, Germany [1899]"
James Hastie,Capt.,1,1848,1897,1,"Stondon Place, Broatwood, Essex "
John Hastings,NA,1,NA,NA,1,
Richard Haughton,NA,1,1782,1867,1,Ramsgate 
Samuel Foster Haven,NA,1,1806,1881,1,"Worcester, Massachusetts"
George Hawkins,NA,1,NA,NA,1,"88 Bishopsgate Street Without, EC [1864]28 City Road EC [1879]"
Walter Hawkins,NA,1,NA,NA,1,[1 Lime Street Square][BAA Journal online]
John Hay,Revd.,1,NA,NA,1,"7 Philip Terrace Tottenham [1862]"
W E Hay,Major,1,NA,NA,1,"16 Queen Street, Mayfair, SW 1 John Street, Berkeley Square, SW [1866]"
Ferdinand Vandeveer Hayden,Prof.,1,1829,1887,1,PhiladelphiaWashington [1885]
Thomas Hayle,NA,1,1808,1886,1,Rochdale
R W Haynes,NA,1,NA,NA,1,"15 Gt Ormond Street"
William Stephens Hayward,NA,1,1835,1870,1,"Long Wittenham, Abingdon, Berks"
Edward Charles Healey,NA,1,1845,1906,1,"Joldwynds, near Dorking, Surrey [1864]Wyphurst, Cranleigh, Guildford [1872]"
Dunbar Isidore Heath,Revd.,1,1816,1888,1,"Esher, Surrey and 113A Strand, WCEsher, Surrey, & 68 Lower Kennington Lane, S. [A6:2]"
G J D Heath,Capt.,1,NA,1880,1,"MadrasMadras Staff Corps, c/o Messrs Arbuthnot and Co., Madras [1872]"
John Heaton,NA,1,1818,1897,1,"Eastwood, Notts."
Alexander Hector,NA,1,1810,1875,1,"7 Stanley Gardens, W. "
Peter Christian Heldman,Prof.,1,1808,1866,1,
W G Helsby,NA,1,1828,1891,1,"Crosby Green, New Derby, Liverpool [1863 and list Aug 20 1866]34 Church St., Liverpool [1866]1 Church Street, Liverpool [1867]"
Alexander Henderson,Revd.,1,1804,NA,1,Belize
David Mitchell Henderson,NA,1,NA,NA,1,"1 Cardon Place, Aberdeen and Old Calabar, W. AfricaMessrs Henderson Brothers & Co., Merchants, Maulmein, Burmah {1872}"
P Henderson,NA,1,NA,NA,1,"Benghari, North Africa... and 1 Stafford Place, Buckingham Gate, SWHM Vice Consul, Benghari, N. Africa... c/o G. Reid, 21 Abchurch Lane, EC {1872}"
Robert Henderson,NA,1,1811,1871,1,Randall's Park Surrey [1862]
Alfred Gutteres Henriques,NA,1,1829,1908,1,"2 Stone Buildings, Lincoln's Inn Fields"
Joseph Henry,Prof.,1,1797,1878,1,Smithsonian Institution Washington
M H Henry,Dr,1,NA,NA,1,New York
James Hepburn,NA,1,1811,1869,1,San Francisco
Robert Hepburn,NA,1,NA,NA,1,"8 Davies St, Berkeley Sq [1855]70 Portland Place W [1867]"
John Mason Hepworth,NA,1,NA,NA,1,"Ackworth, Yorkshire "
Henry A Hertz,NA,1,NA,NA,1,"27 Fenchurch Street, EC"
Maximilian Herz,Dr,1,1837,1890,1,ViennaHungary [1875]
Matthew Heslop,NA,1,NA,NA,1,"23 Spring Gardens, Doncaster [1870]15 Southampton row, High Holborn WC {1872}... and 20 Duke street, Cardiff [1875]"
T P Heslop,NA,1,NA,NA,1,Birmingham 
B Hewitt,NA,1,NA,NA,1,c/o Mssrs Grindlay & Co Calcutta
Jonas B Hewitt,NA,1,NA,NA,1,"3 Crown Court Threadneedle St EC"
Alfred Hewlett,NA,1,1831,1918,1,"The Grange, Coppull, near Wigan [1865]Haseley Manor, Warwick [1881]"
James Heywood,NA,1,1810,1897,1,"26 Kensington Palace Gardens and Athenaeum Club [1862]"
James Higgin,NA,1,NA,NA,1,"5 Hopwood Avenue, Manchester Lancaster Avenue, Manchester [1875]"
Alfred Higgins,NA,1,NA,NA,1,"4 S. Martin's Place, W.C... War Office, Pall Mall, SW... and 26 Manchester Street, W."
x Hildebrand,Prof.,1,1838,1925,1,StockholmGotland
Arthur Hill,NA,1,NA,NA,1,
Dallas Hill,NA,1,NA,NA,1,"Ahmedabad, Gujerat"
George Hill,NA,1,NA,NA,1,"The Elms, Hooton, Cheshire"
L  Doake Hill,NA,1,NA,NA,1,"35th RegimentMean Meer, India [list 1867.07.15]"
R  Harvey Hilliard,NA,1,NA,NA,1,"258 Kingsland Road, NE and Kinsembo, West Africa6 Neville Terrace, Hornsey Road, N. {1872}"
J Hillier,NA,1,NA,NA,1,Sandwich 
x Hincks,Prof.,1,1794,1871,1,Toronto
Benjamin Hinde,NA,1,NA,NA,1,"Tarbert, Co. Kerry"
Frederick Hindmarsh,NA,1,NA,1875,1,"17 Bucklersbury EC [1862]4 New Inn Strand... 17 Bucklersbury EC... and Townsend House Barkway Herts [1867]4 New Inn Strand... and Townsend House Barkway Herts [1869]"
George T Hine,NA,1,NA,NA,1,Queensland
August Hirsch,Prof. Dr,1,1817,1894,1,
Wilhelm His,Prof.,1,1831,1904,1,Neufchatel [1864]Basle [1865]Leipzig [1883]
x Hitchman,Dr,1,1805,1867,1,Mickleover nr Derby
W Hitchman,NA,1,1817,1889,1,"51 Pembroke Place, Liverpool"
W G E Hobbs,NA,1,NA,NA,1,"The Grammar School, Wareside, Ware, Herts. [this address crossed out in A31/2/4 and Beulah Cottage, London Rd., Enfield written by hand]Beulah Cottages, London Road, Enfield {1872}"
F H Hobler,NA,1,NA,NA,1,"Chemical Department, Royal Arsenal, Woolwich"
von Hochstetter,Prof.,1,1829,1884,1,Vienna
Thomas Hodge,NA,1,NA,NA,1,"South Street, S. Andrew's "
Thomas (1) Hodgkin,NA,1,1798,1866,1,"9 Lower Brook Street [1838]35 Bedford Sq "
Brian Houghton Hodgson,NA,1,1801,1894,1,"Bengal [1854][1869]The Rangers, Dursley [1863]The Grange Wooton under Edge near Alderley Cheshire [A6:2]&[1867]"
Kirkman Daniel Hodgson,NA,1,1814,1879,1,"36 Brook Street Grosvenor Square [1862][37 in 1867, 1869, 1872, 1875]and Sparrows Herne Bushy Herts"
"x Hoeven, Van der",Prof.,1,1801,1868,1,Leyden
Carl Alphonse Hoffman,NA,1,NA,NA,1,"Elmfield, St Julian Rd, Streatham"
J W Holgate,NA,1,NA,NA,1,
Jennings Holgate,NA,1,NA,NA,1,"Penton House, Staines, Middlesex and Arundel Club, WC"
James Holland,Col.,1,NA,NA,1,"24 Princes Square, Hyde Park "
Robert Hollond,NA,1,1808,1877,1,"Stanmore Hall, StanmoreGreat Stanmore Middlesex [1862]"
x Holmberg,NA,1,1818,1864,1,Helsingsfors
H N Holme,NA,1,NA,NA,1,
William Holmes,NA,1,NA,NA,1,"Thurlow Place, Lower Norwood, S."
H  le Hon,NA,1,1809,1872,1,Bruxelles
T H Hood,NA,1,NA,NA,1,"Cluny House, Dunkeld, NB"
