"Name","birth_year","death_year","Target","first_year","last_year"
Ephraim George Squier,"1,821","1,888",AI,1852,1871
George St Clair,"1,836","1,908",AI,1863,1871
Spencer St John,"1,825","1,910",AI,1863,1871
William Edward Stanbridge,"1,821","1,894",AI,1863,1871
Japetus Steenstrup,"1,813","1,897",AI,1863,1871
Carl (Karl) Steinhauer,"1,801","1,902",AI,1863,1871
Charles Stenning,NA,NA,AI,1863,1871
William Frederick Cowell Stepney,"1,821","1,872",AI,1867,1871
N  Henry Stevens,NA,NA,AI,1862,1871
Alexander Patrick Stewart,"1,813","1,883",AI,1855,1871
Charles Edward Stewart,NA,NA,AI,1869,1871
John Stirling,"1,828","1,870",AI,1866,1870
David Henry Stone,"1,812","1,890",AI,1864,1871
William Story,"1,816","1,882",AI,1865,1871
John Marmaduke Stourton,"1,847","1,899",AI,1867,1871
James Strathern,NA,NA,AI,1868,1871
Andrew Struthers,NA,NA,AI,1868,1871
John William Studart,NA,NA,AI,1865,1871
Peter Cormac Sutherland,"1,822","1,900",AI,1871,1871
Horace Swete,"1,825",NA,AI,1869,1871
Algernon Charles Swinburne,"1,837","1,909",AI,1865,1871
Robert Swinhoe,"1,836","1,877",AI,1861,1871
Francis Tagart,NA,NA,AI,1871,1871
Lawson Tait,"1,845","1,899",AI,1868,1870
James Talbot de Malahide,"1,805","1,883",AI,1860,1871
Richard Temple,"1,826","1,902",AI,1865,1871
Edward Tenison Ryan Tenison,NA,"1,904",AI,1863,1871
John Tennant,"1,796","1,878",AI,1863,1871
"William, Jun Theobald","1,829","1,908",AI,1866,1871
Connop Thirlwall,"1,797","1,875",AI,1864,1871
Frederick Thompson,NA,"1,885",AI,1864,1871
George C Thompson,NA,NA,AI,1866,1870
John Thomson,"1,837","1,921",AI,1866,1871
L E Threlkeld,"1,788","1,859",AI,1854,1871
Edward Thurlow,NA,NA,AI,1863,1871
John Thurnam,"1,810","1,873",AI,1852,1870
Richard Hill Tiddeman,"1,842","1,917",AI,1870,1871
Samuel Timmins,"1,826","1,902",AI,1865,1871
John Tolhurst,NA,NA,AI,1867,1871
Albert Tootal,"1,838","1,893",AI,1867,1871
Arthur Trevelyan,NA,"1,880",AI,1863,1871
Nicolas Trubner,"1,817","1,884",AI,1863,1871
Charles jun Tuckett,NA,"1,875",AI,1864,1871
Thomas Harrington Tuke,"1,826","1,888",AI,1849,1871
John Underwood,NA,NA,AI,1860,1871
Jonas Daniel Vaughan,"1,825","1,891",AI,1865,1871
William Sandys Wright Vaux,"1,818","1,885",AI,1871,1871
George Venables Vernon,NA,"1,878",AI,1863,1871
Carl Vogt,"1,817","1,895",AI,1863,1871
Thomas Francis Wade,"1,818","1,895",AI,1865,1871
Cornelius Walford,"1,827","1,885",AI,1866,1871
Charles Pyndar Beauchamp Walker,"1,817","1,894",AI,1865,1871
James Sydney Walker,NA,"1,883",AI,1854,1871
Thomas Walker,"1,832","1,896",AI,1854,1871
Alfred Russel Wallace,"1,823","1,913",AI,1866,1871
Joshua Walmsley,"1,819",NA,AI,1867,1871
Phillipp Alexander Walther,"1,812","1,887",AI,1862,1871
Ottiwell Charles Waterfield,"1,831","1,898",AI,1864,1871
Samuel Watson,NA,NA,AI,1863,1871
Robert Watt,NA,NA,AI,1869,1871
Hermann Welcker,"1,822","1,897",AI,1862,1871
Hodder Michael Westropp,"1,820","1,885",AI,1863,1871
James Whishaw,"1,808","1,879",AI,1846,1871
x Wienecke,NA,NA,AI,1862,1871
John Gardner Wilkinson,"1,797","1,875",AI,1853,1871
John (1) Williams,NA,NA,AI,1867,1871
John Wilkins Williams,NA,NA,AI,1867,1871
Daniel Wilson,"1,816","1,892",AI,1863,1871
Frank Wilson,NA,NA,AI,1866,1871
Alfred Wiltshire,"1,839","1,886",AI,1868,1871
William Smith Windham,NA,NA,AI,1866,1871
Henry Hoyte Winwood,"1,831","1,920",AI,1869,1871
Thomas Alexander Wise,"1,801","1,889",AI,1866,1871
James Wodderspoon,NA,NA,AI,1869,1871
Francis George Cornelius Wolber,NA,NA,AI,1868,1871
Samuel Wood,NA,"1,879",AI,1860,1871
William Spicer Wood,NA,"1,902",AI,1863,1871
Robert Carr Woods,"1,816","1,875",AI,1863,1871
Francis Beresford Wright,"1,837","1,911",AI,1870,1871
Thomas Wright,"1,810","1,877",AI,1853,1871
Robert Younge,"1,801","1,874",AI,1865,1871
Arthur de Zeltner,NA,NA,AI,1865,1871
